store_location,item_id,size,color,system_count,last_updated,pending_sellable_count,true_available,style_name,category
Madison Ave,SKU-001,24,Indigo,6,2026-07-06,0,6,Skinny,jean
Madison Ave,SKU-001,24,Black,1,2026-06-25,0,1,Skinny,jean
Madison Ave,SKU-001,24,White,1,2026-06-24,0,1,Skinny,jean
Madison Ave,SKU-001,24,Stone Wash,0,2026-06-24,0,0,Skinny,jean
Madison Ave,SKU-001,24,Raw Denim,3,2026-06-23,0,3,Skinny,jean
Madison Ave,SKU-001,24,Vintage Blue,7,2026-07-05,0,7,Skinny,jean
Madison Ave,SKU-001,25,Indigo,7,2026-06-24,0,7,Skinny,jean
Madison Ave,SKU-001,25,Black,4,2026-07-01,0,4,Skinny,jean
Madison Ave,SKU-001,25,White,5,2026-07-04,0,5,Skinny,jean
Madison Ave,SKU-001,25,Stone Wash,4,2026-07-05,0,4,Skinny,jean
Madison Ave,SKU-001,25,Raw Denim,3,2026-07-05,0,3,Skinny,jean
Madison Ave,SKU-001,25,Vintage Blue,8,2026-06-25,0,8,Skinny,jean
Madison Ave,SKU-001,26,Indigo,6,2026-07-04,1,7,Skinny,jean
Madison Ave,SKU-001,26,Black,9,2026-07-02,0,9,Skinny,jean
Madison Ave,SKU-001,26,White,1,2026-06-30,0,1,Skinny,jean
Madison Ave,SKU-001,26,Stone Wash,0,2026-07-05,0,0,Skinny,jean
Madison Ave,SKU-001,26,Raw Denim,2,2026-06-27,0,2,Skinny,jean
Madison Ave,SKU-001,26,Vintage Blue,4,2026-07-01,0,4,Skinny,jean
Madison Ave,SKU-001,27,Indigo,0,2026-07-05,0,0,Skinny,jean
Madison Ave,SKU-001,27,Black,5,2026-06-28,0,5,Skinny,jean
Madison Ave,SKU-001,27,White,2,2026-07-02,0,2,Skinny,jean
Madison Ave,SKU-001,27,Stone Wash,0,2026-07-05,0,0,Skinny,jean
Madison Ave,SKU-001,27,Raw Denim,5,2026-06-30,0,5,Skinny,jean
Madison Ave,SKU-001,27,Vintage Blue,7,2026-06-30,0,7,Skinny,jean
Madison Ave,SKU-001,28,Indigo,0,2026-07-04,0,0,Skinny,jean
Madison Ave,SKU-001,28,Black,7,2026-06-28,0,7,Skinny,jean
Madison Ave,SKU-001,28,White,0,2026-06-24,0,0,Skinny,jean
Madison Ave,SKU-001,28,Stone Wash,9,2026-06-22,0,9,Skinny,jean
Madison Ave,SKU-001,28,Raw Denim,9,2026-06-25,0,9,Skinny,jean
Madison Ave,SKU-001,28,Vintage Blue,6,2026-06-24,0,6,Skinny,jean
Madison Ave,SKU-001,29,Indigo,6,2026-06-29,0,6,Skinny,jean
Madison Ave,SKU-001,29,Black,0,2026-06-26,0,0,Skinny,jean
Madison Ave,SKU-001,29,White,0,2026-06-25,0,0,Skinny,jean
Madison Ave,SKU-001,29,Stone Wash,0,2026-06-29,0,0,Skinny,jean
Madison Ave,SKU-001,29,Raw Denim,0,2026-06-25,0,0,Skinny,jean
Madison Ave,SKU-001,29,Vintage Blue,2,2026-07-01,0,2,Skinny,jean
Madison Ave,SKU-001,30,Indigo,5,2026-06-27,0,5,Skinny,jean
Madison Ave,SKU-001,30,Black,8,2026-07-04,0,8,Skinny,jean
Madison Ave,SKU-001,30,White,6,2026-06-23,0,6,Skinny,jean
Madison Ave,SKU-001,30,Stone Wash,8,2026-07-05,0,8,Skinny,jean
Madison Ave,SKU-001,30,Raw Denim,2,2026-07-02,0,2,Skinny,jean
Madison Ave,SKU-001,30,Vintage Blue,2,2026-07-04,0,2,Skinny,jean
Madison Ave,SKU-001,31,Indigo,0,2026-07-02,0,0,Skinny,jean
Madison Ave,SKU-001,31,Black,0,2026-06-28,0,0,Skinny,jean
Madison Ave,SKU-001,31,White,4,2026-07-06,0,4,Skinny,jean
Madison Ave,SKU-001,31,Stone Wash,4,2026-06-24,0,4,Skinny,jean
Madison Ave,SKU-001,31,Raw Denim,8,2026-07-01,0,8,Skinny,jean
Madison Ave,SKU-001,31,Vintage Blue,6,2026-06-25,0,6,Skinny,jean
Madison Ave,SKU-001,32,Indigo,1,2026-06-27,0,1,Skinny,jean
Madison Ave,SKU-001,32,Black,0,2026-07-03,0,0,Skinny,jean
Madison Ave,SKU-001,32,White,1,2026-07-04,0,1,Skinny,jean
Madison Ave,SKU-001,32,Stone Wash,2,2026-06-30,0,2,Skinny,jean
Madison Ave,SKU-001,32,Raw Denim,3,2026-07-05,0,3,Skinny,jean
Madison Ave,SKU-001,32,Vintage Blue,3,2026-06-23,0,3,Skinny,jean
Madison Ave,SKU-001,33,Indigo,5,2026-07-05,0,5,Skinny,jean
Madison Ave,SKU-001,33,Black,7,2026-06-29,0,7,Skinny,jean
Madison Ave,SKU-001,33,White,3,2026-07-06,0,3,Skinny,jean
Madison Ave,SKU-001,33,Stone Wash,4,2026-06-27,0,4,Skinny,jean
Madison Ave,SKU-001,33,Raw Denim,7,2026-06-25,0,7,Skinny,jean
Madison Ave,SKU-001,33,Vintage Blue,1,2026-07-02,0,1,Skinny,jean
Madison Ave,SKU-001,34,Indigo,0,2026-06-28,0,0,Skinny,jean
Madison Ave,SKU-001,34,Black,6,2026-06-28,0,6,Skinny,jean
Madison Ave,SKU-001,34,White,1,2026-07-02,0,1,Skinny,jean
Madison Ave,SKU-001,34,Stone Wash,5,2026-06-28,0,5,Skinny,jean
Madison Ave,SKU-001,34,Raw Denim,6,2026-06-29,0,6,Skinny,jean
Madison Ave,SKU-001,34,Vintage Blue,5,2026-07-04,0,5,Skinny,jean
Madison Ave,SKU-002,24,Indigo,7,2026-07-03,0,7,Straight,jean
Madison Ave,SKU-002,24,Black,1,2026-06-26,0,1,Straight,jean
Madison Ave,SKU-002,24,White,0,2026-07-01,0,0,Straight,jean
Madison Ave,SKU-002,24,Stone Wash,7,2026-06-27,0,7,Straight,jean
Madison Ave,SKU-002,24,Raw Denim,9,2026-07-02,0,9,Straight,jean
Madison Ave,SKU-002,24,Vintage Blue,1,2026-07-02,0,1,Straight,jean
Madison Ave,SKU-002,25,Indigo,2,2026-06-22,0,2,Straight,jean
Madison Ave,SKU-002,25,Black,0,2026-07-01,0,0,Straight,jean
Madison Ave,SKU-002,25,White,4,2026-07-05,0,4,Straight,jean
Madison Ave,SKU-002,25,Stone Wash,5,2026-06-28,0,5,Straight,jean
Madison Ave,SKU-002,25,Raw Denim,0,2026-07-05,0,0,Straight,jean
Madison Ave,SKU-002,25,Vintage Blue,0,2026-07-03,0,0,Straight,jean
Madison Ave,SKU-002,26,Indigo,5,2026-07-04,0,5,Straight,jean
Madison Ave,SKU-002,26,Black,4,2026-07-03,0,4,Straight,jean
Madison Ave,SKU-002,26,White,5,2026-06-22,0,5,Straight,jean
Madison Ave,SKU-002,26,Stone Wash,5,2026-06-28,0,5,Straight,jean
Madison Ave,SKU-002,26,Raw Denim,4,2026-07-03,0,4,Straight,jean
Madison Ave,SKU-002,26,Vintage Blue,0,2026-07-02,0,0,Straight,jean
Madison Ave,SKU-002,27,Indigo,4,2026-06-25,0,4,Straight,jean
Madison Ave,SKU-002,27,Black,5,2026-07-06,0,5,Straight,jean
Madison Ave,SKU-002,27,White,3,2026-06-25,0,3,Straight,jean
Madison Ave,SKU-002,27,Stone Wash,1,2026-06-22,0,1,Straight,jean
Madison Ave,SKU-002,27,Raw Denim,3,2026-07-04,0,3,Straight,jean
Madison Ave,SKU-002,27,Vintage Blue,1,2026-06-30,0,1,Straight,jean
Madison Ave,SKU-002,28,Indigo,2,2026-07-03,0,2,Straight,jean
Madison Ave,SKU-002,28,Black,3,2026-06-24,0,3,Straight,jean
Madison Ave,SKU-002,28,White,8,2026-07-01,0,8,Straight,jean
Madison Ave,SKU-002,28,Stone Wash,11,2026-07-03,0,11,Straight,jean
Madison Ave,SKU-002,28,Raw Denim,10,2026-06-22,0,10,Straight,jean
Madison Ave,SKU-002,28,Vintage Blue,0,2026-07-02,0,0,Straight,jean
Madison Ave,SKU-002,29,Indigo,5,2026-06-29,0,5,Straight,jean
Madison Ave,SKU-002,29,Black,6,2026-06-24,0,6,Straight,jean
Madison Ave,SKU-002,29,White,6,2026-06-30,0,6,Straight,jean
Madison Ave,SKU-002,29,Stone Wash,4,2026-07-06,0,4,Straight,jean
Madison Ave,SKU-002,29,Raw Denim,2,2026-06-22,0,2,Straight,jean
Madison Ave,SKU-002,29,Vintage Blue,4,2026-06-25,0,4,Straight,jean
