store_location,item_id,size,color,system_count,last_updated
Madison Ave,SKU-001,24,Indigo,6,2026-07-06
Madison Ave,SKU-001,24,Black,1,2026-06-25
Madison Ave,SKU-001,24,White,1,2026-06-24
Madison Ave,SKU-001,24,Stone Wash,0,2026-06-24
Madison Ave,SKU-001,24,Raw Denim,3,2026-06-23
Madison Ave,SKU-001,24,Vintage Blue,7,2026-07-05
Madison Ave,SKU-001,25,Indigo,7,2026-06-24
Madison Ave,SKU-001,25,Black,4,2026-07-01
Madison Ave,SKU-001,25,White,5,2026-07-04
Madison Ave,SKU-001,25,Stone Wash,4,2026-07-05
Madison Ave,SKU-001,25,Raw Denim,3,2026-07-05
Madison Ave,SKU-001,25,Vintage Blue,8,2026-06-25
Madison Ave,SKU-001,26,Indigo,6,2026-07-04
Madison Ave,SKU-001,26,Black,9,2026-07-02
Madison Ave,SKU-001,26,White,1,2026-06-30
Madison Ave,SKU-001,26,Stone Wash,0,2026-07-05
Madison Ave,SKU-001,26,Raw Denim,2,2026-06-27
Madison Ave,SKU-001,26,Vintage Blue,4,2026-07-01
Madison Ave,SKU-001,27,Indigo,0,2026-07-05
Madison Ave,SKU-001,27,Black,5,2026-06-28
Madison Ave,SKU-001,27,White,2,2026-07-02
Madison Ave,SKU-001,27,Stone Wash,0,2026-07-05
Madison Ave,SKU-001,27,Raw Denim,5,2026-06-30
Madison Ave,SKU-001,27,Vintage Blue,7,2026-06-30
Madison Ave,SKU-001,28,Indigo,0,2026-07-04
Madison Ave,SKU-001,28,Black,7,2026-06-28
Madison Ave,SKU-001,28,White,0,2026-06-24
Madison Ave,SKU-001,28,Stone Wash,9,2026-06-22
Madison Ave,SKU-001,28,Raw Denim,9,2026-06-25
Madison Ave,SKU-001,28,Vintage Blue,6,2026-06-24
Madison Ave,SKU-001,29,Indigo,6,2026-06-29
Madison Ave,SKU-001,29,Black,0,2026-06-26
Madison Ave,SKU-001,29,White,0,2026-06-25
Madison Ave,SKU-001,29,Stone Wash,0,2026-06-29
Madison Ave,SKU-001,29,Raw Denim,0,2026-06-25
Madison Ave,SKU-001,29,Vintage Blue,2,2026-07-01
Madison Ave,SKU-001,30,Indigo,5,2026-06-27
Madison Ave,SKU-001,30,Black,8,2026-07-04
Madison Ave,SKU-001,30,White,6,2026-06-23
Madison Ave,SKU-001,30,Stone Wash,8,2026-07-05
Madison Ave,SKU-001,30,Raw Denim,2,2026-07-02
Madison Ave,SKU-001,30,Vintage Blue,2,2026-07-04
Madison Ave,SKU-001,31,Indigo,0,2026-07-02
Madison Ave,SKU-001,31,Black,0,2026-06-28
Madison Ave,SKU-001,31,White,4,2026-07-06
Madison Ave,SKU-001,31,Stone Wash,4,2026-06-24
Madison Ave,SKU-001,31,Raw Denim,8,2026-07-01
Madison Ave,SKU-001,31,Vintage Blue,6,2026-06-25
Madison Ave,SKU-001,32,Indigo,1,2026-06-27
Madison Ave,SKU-001,32,Black,0,2026-07-03
Madison Ave,SKU-001,32,White,1,2026-07-04
Madison Ave,SKU-001,32,Stone Wash,2,2026-06-30
Madison Ave,SKU-001,32,Raw Denim,3,2026-07-05
Madison Ave,SKU-001,32,Vintage Blue,3,2026-06-23
Madison Ave,SKU-001,33,Indigo,5,2026-07-05
Madison Ave,SKU-001,33,Black,7,2026-06-29
Madison Ave,SKU-001,33,White,3,2026-07-06
Madison Ave,SKU-001,33,Stone Wash,4,2026-06-27
Madison Ave,SKU-001,33,Raw Denim,7,2026-06-25
Madison Ave,SKU-001,33,Vintage Blue,1,2026-07-02
Madison Ave,SKU-001,34,Indigo,0,2026-06-28
Madison Ave,SKU-001,34,Black,6,2026-06-28
Madison Ave,SKU-001,34,White,1,2026-07-02
Madison Ave,SKU-001,34,Stone Wash,5,2026-06-28
Madison Ave,SKU-001,34,Raw Denim,6,2026-06-29
Madison Ave,SKU-001,34,Vintage Blue,5,2026-07-04
Madison Ave,SKU-002,24,Indigo,7,2026-07-03
Madison Ave,SKU-002,24,Black,1,2026-06-26
Madison Ave,SKU-002,24,White,0,2026-07-01
Madison Ave,SKU-002,24,Stone Wash,7,2026-06-27
Madison Ave,SKU-002,24,Raw Denim,9,2026-07-02
Madison Ave,SKU-002,24,Vintage Blue,1,2026-07-02
Madison Ave,SKU-002,25,Indigo,2,2026-06-22
Madison Ave,SKU-002,25,Black,0,2026-07-01
Madison Ave,SKU-002,25,White,4,2026-07-05
Madison Ave,SKU-002,25,Stone Wash,5,2026-06-28
Madison Ave,SKU-002,25,Raw Denim,0,2026-07-05
Madison Ave,SKU-002,25,Vintage Blue,0,2026-07-03
Madison Ave,SKU-002,26,Indigo,5,2026-07-04
Madison Ave,SKU-002,26,Black,4,2026-07-03
Madison Ave,SKU-002,26,White,5,2026-06-22
Madison Ave,SKU-002,26,Stone Wash,5,2026-06-28
Madison Ave,SKU-002,26,Raw Denim,4,2026-07-03
Madison Ave,SKU-002,26,Vintage Blue,0,2026-07-02
Madison Ave,SKU-002,27,Indigo,4,2026-06-25
Madison Ave,SKU-002,27,Black,5,2026-07-06
Madison Ave,SKU-002,27,White,3,2026-06-25
Madison Ave,SKU-002,27,Stone Wash,1,2026-06-22
Madison Ave,SKU-002,27,Raw Denim,3,2026-07-04
Madison Ave,SKU-002,27,Vintage Blue,1,2026-06-30
Madison Ave,SKU-002,28,Indigo,2,2026-07-03
Madison Ave,SKU-002,28,Black,3,2026-06-24
Madison Ave,SKU-002,28,White,8,2026-07-01
Madison Ave,SKU-002,28,Stone Wash,11,2026-07-03
Madison Ave,SKU-002,28,Raw Denim,10,2026-06-22
Madison Ave,SKU-002,28,Vintage Blue,0,2026-07-02
Madison Ave,SKU-002,29,Indigo,5,2026-06-29
Madison Ave,SKU-002,29,Black,6,2026-06-24
Madison Ave,SKU-002,29,White,6,2026-06-30
Madison Ave,SKU-002,29,Stone Wash,4,2026-07-06
Madison Ave,SKU-002,29,Raw Denim,2,2026-06-22
Madison Ave,SKU-002,29,Vintage Blue,4,2026-06-25
Madison Ave,SKU-002,30,Indigo,6,2026-06-22
Madison Ave,SKU-002,30,Black,12,2026-06-26
Madison Ave,SKU-002,30,White,0,2026-06-29
Madison Ave,SKU-002,30,Stone Wash,0,2026-06-26
Madison Ave,SKU-002,30,Raw Denim,1,2026-06-25
Madison Ave,SKU-002,30,Vintage Blue,0,2026-06-30
Madison Ave,SKU-002,31,Indigo,5,2026-06-28
Madison Ave,SKU-002,31,Black,2,2026-06-25
Madison Ave,SKU-002,31,White,7,2026-06-29
Madison Ave,SKU-002,31,Stone Wash,0,2026-06-23
Madison Ave,SKU-002,31,Raw Denim,4,2026-06-26
Madison Ave,SKU-002,31,Vintage Blue,4,2026-07-01
Madison Ave,SKU-002,32,Indigo,4,2026-06-25
Madison Ave,SKU-002,32,Black,5,2026-07-06
Madison Ave,SKU-002,32,White,9,2026-06-25
Madison Ave,SKU-002,32,Stone Wash,4,2026-07-06
Madison Ave,SKU-002,32,Raw Denim,5,2026-07-05
Madison Ave,SKU-002,32,Vintage Blue,1,2026-07-06
Madison Ave,SKU-002,33,Indigo,1,2026-06-24
Madison Ave,SKU-002,33,Black,0,2026-06-27
Madison Ave,SKU-002,33,White,2,2026-06-22
Madison Ave,SKU-002,33,Stone Wash,0,2026-07-04
Madison Ave,SKU-002,33,Raw Denim,2,2026-07-04
Madison Ave,SKU-002,33,Vintage Blue,6,2026-07-01
Madison Ave,SKU-002,34,Indigo,2,2026-07-02
Madison Ave,SKU-002,34,Black,6,2026-06-22
Madison Ave,SKU-002,34,White,8,2026-06-26
Madison Ave,SKU-002,34,Stone Wash,5,2026-06-28
Madison Ave,SKU-002,34,Raw Denim,1,2026-07-04
Madison Ave,SKU-002,34,Vintage Blue,2,2026-06-29
Madison Ave,SKU-003,24,Indigo,6,2026-06-25
Madison Ave,SKU-003,24,Black,3,2026-06-24
Madison Ave,SKU-003,24,White,2,2026-06-28
Madison Ave,SKU-003,24,Stone Wash,1,2026-07-01
Madison Ave,SKU-003,24,Raw Denim,2,2026-06-26
Madison Ave,SKU-003,24,Vintage Blue,1,2026-07-05
Madison Ave,SKU-003,25,Indigo,4,2026-06-22
Madison Ave,SKU-003,25,Black,1,2026-06-28
Madison Ave,SKU-003,25,White,0,2026-06-26
Madison Ave,SKU-003,25,Stone Wash,0,2026-07-03
Madison Ave,SKU-003,25,Raw Denim,7,2026-06-24
Madison Ave,SKU-003,25,Vintage Blue,2,2026-06-23
Madison Ave,SKU-003,26,Indigo,0,2026-06-28
Madison Ave,SKU-003,26,Black,4,2026-07-06
Madison Ave,SKU-003,26,White,0,2026-06-22
Madison Ave,SKU-003,26,Stone Wash,4,2026-07-06
Madison Ave,SKU-003,26,Raw Denim,2,2026-07-03
Madison Ave,SKU-003,26,Vintage Blue,7,2026-07-01
Madison Ave,SKU-003,27,Indigo,6,2026-06-26
Madison Ave,SKU-003,27,Black,1,2026-07-03
Madison Ave,SKU-003,27,White,7,2026-07-01
Madison Ave,SKU-003,27,Stone Wash,5,2026-06-27
Madison Ave,SKU-003,27,Raw Denim,4,2026-06-25
Madison Ave,SKU-003,27,Vintage Blue,9,2026-06-30
Madison Ave,SKU-003,28,Indigo,1,2026-06-26
Madison Ave,SKU-003,28,Black,0,2026-07-05
Madison Ave,SKU-003,28,White,1,2026-07-02
Madison Ave,SKU-003,28,Stone Wash,1,2026-06-25
Madison Ave,SKU-003,28,Raw Denim,2,2026-07-06
Madison Ave,SKU-003,28,Vintage Blue,3,2026-06-23
Madison Ave,SKU-003,29,Indigo,0,2026-06-26
Madison Ave,SKU-003,29,Black,4,2026-07-06
Madison Ave,SKU-003,29,White,0,2026-06-25
Madison Ave,SKU-003,29,Stone Wash,3,2026-06-28
Madison Ave,SKU-003,29,Raw Denim,0,2026-07-02
Madison Ave,SKU-003,29,Vintage Blue,1,2026-06-27
Madison Ave,SKU-003,30,Indigo,2,2026-06-27
Madison Ave,SKU-003,30,Black,7,2026-06-24
Madison Ave,SKU-003,30,White,5,2026-07-01
Madison Ave,SKU-003,30,Stone Wash,2,2026-06-29
Madison Ave,SKU-003,30,Raw Denim,1,2026-06-30
Madison Ave,SKU-003,30,Vintage Blue,5,2026-07-04
Madison Ave,SKU-003,31,Indigo,3,2026-06-22
Madison Ave,SKU-003,31,Black,1,2026-07-06
Madison Ave,SKU-003,31,White,6,2026-07-01
Madison Ave,SKU-003,31,Stone Wash,0,2026-07-05
Madison Ave,SKU-003,31,Raw Denim,0,2026-06-28
Madison Ave,SKU-003,31,Vintage Blue,0,2026-07-02
Madison Ave,SKU-003,32,Indigo,3,2026-07-04
Madison Ave,SKU-003,32,Black,1,2026-07-04
Madison Ave,SKU-003,32,White,6,2026-07-01
Madison Ave,SKU-003,32,Stone Wash,1,2026-07-05
Madison Ave,SKU-003,32,Raw Denim,5,2026-07-03
Madison Ave,SKU-003,32,Vintage Blue,8,2026-06-25
Madison Ave,SKU-003,33,Indigo,6,2026-07-05
Madison Ave,SKU-003,33,Black,4,2026-07-01
Madison Ave,SKU-003,33,White,2,2026-07-03
Madison Ave,SKU-003,33,Stone Wash,7,2026-06-26
Madison Ave,SKU-003,33,Raw Denim,2,2026-06-25
Madison Ave,SKU-003,33,Vintage Blue,2,2026-06-25
Madison Ave,SKU-003,34,Indigo,4,2026-06-27
Madison Ave,SKU-003,34,Black,2,2026-06-30
Madison Ave,SKU-003,34,White,0,2026-06-26
Madison Ave,SKU-003,34,Stone Wash,3,2026-07-03
Madison Ave,SKU-003,34,Raw Denim,8,2026-06-30
Madison Ave,SKU-003,34,Vintage Blue,2,2026-07-03
Madison Ave,SKU-004,24,Indigo,1,2026-06-27
Madison Ave,SKU-004,24,Black,5,2026-07-06
Madison Ave,SKU-004,24,White,6,2026-07-06
Madison Ave,SKU-004,24,Stone Wash,2,2026-07-02
Madison Ave,SKU-004,24,Raw Denim,5,2026-06-22
Madison Ave,SKU-004,24,Vintage Blue,4,2026-06-22
Madison Ave,SKU-004,25,Indigo,4,2026-07-02
Madison Ave,SKU-004,25,Black,2,2026-07-04
Madison Ave,SKU-004,25,White,0,2026-06-23
Madison Ave,SKU-004,25,Stone Wash,5,2026-06-28
Madison Ave,SKU-004,25,Raw Denim,4,2026-07-06
Madison Ave,SKU-004,25,Vintage Blue,0,2026-06-25
Madison Ave,SKU-004,26,Indigo,5,2026-06-26
Madison Ave,SKU-004,26,Black,10,2026-07-04
Madison Ave,SKU-004,26,White,4,2026-07-05
Madison Ave,SKU-004,26,Stone Wash,8,2026-07-04
Madison Ave,SKU-004,26,Raw Denim,0,2026-06-22
Madison Ave,SKU-004,26,Vintage Blue,3,2026-06-24
Madison Ave,SKU-004,27,Indigo,7,2026-06-26
Madison Ave,SKU-004,27,Black,0,2026-06-25
Madison Ave,SKU-004,27,White,1,2026-06-23
Madison Ave,SKU-004,27,Stone Wash,2,2026-07-02
Madison Ave,SKU-004,27,Raw Denim,1,2026-06-23
Madison Ave,SKU-004,27,Vintage Blue,0,2026-06-25
Madison Ave,SKU-004,28,Indigo,2,2026-06-23
Madison Ave,SKU-004,28,Black,4,2026-07-05
Madison Ave,SKU-004,28,White,5,2026-06-25
Madison Ave,SKU-004,28,Stone Wash,4,2026-07-01
Madison Ave,SKU-004,28,Raw Denim,6,2026-06-24
Madison Ave,SKU-004,28,Vintage Blue,2,2026-06-23
Madison Ave,SKU-004,29,Indigo,0,2026-07-05
Madison Ave,SKU-004,29,Black,3,2026-07-05
Madison Ave,SKU-004,29,White,1,2026-07-03
Madison Ave,SKU-004,29,Stone Wash,8,2026-07-03
Madison Ave,SKU-004,29,Raw Denim,4,2026-07-06
Madison Ave,SKU-004,29,Vintage Blue,3,2026-06-28
Madison Ave,SKU-004,30,Indigo,1,2026-07-03
Madison Ave,SKU-004,30,Black,3,2026-07-06
Madison Ave,SKU-004,30,White,5,2026-07-01
Madison Ave,SKU-004,30,Stone Wash,0,2026-06-24
Madison Ave,SKU-004,30,Raw Denim,9,2026-06-26
Madison Ave,SKU-004,30,Vintage Blue,2,2026-06-23
Madison Ave,SKU-004,31,Indigo,5,2026-06-22
Madison Ave,SKU-004,31,Black,3,2026-06-28
Madison Ave,SKU-004,31,White,7,2026-07-03
Madison Ave,SKU-004,31,Stone Wash,6,2026-06-25
Madison Ave,SKU-004,31,Raw Denim,0,2026-07-01
Madison Ave,SKU-004,31,Vintage Blue,5,2026-06-25
Madison Ave,SKU-004,32,Indigo,4,2026-07-06
Madison Ave,SKU-004,32,Black,3,2026-07-04
Madison Ave,SKU-004,32,White,5,2026-07-05
Madison Ave,SKU-004,32,Stone Wash,4,2026-06-25
