order_id,source_customer_ref,channel,store_location,purchase_date,payment_token,item_id,size,color,qty,price_paid,sale_flag
ORD-000001,POS-00001,in_store,,06 Mar 2025,,SKU-009,32,White,1,168.0,False
ORD-000002,POS-00001,in_store,Madison Ave,05 Jun 2025,,SKU-005,24,Black,2,356.0,False
ORD-000003,POS-00001,in_store,Madison Ave,22 Sep 2025,,SKU-003,29,Raw Denim,1,109.23,True
ORD-000004,POS-00001,in_store,Madison Ave,16 Aug 2025,,SKU-012,S,Black,1,248.0,False
ORD-000005,POS-00001,in_store,Madison Ave,25 Mar 2026,,SKU-016,XL,Indigo,1,148.0,False
ORD-000006,POS-00001,in_store,Bleecker,3/25/2024,,SKU-011,L,Indigo,1,228.0,False
ORD-000007,POS-00001,in_store,Madison Ave,27 Jul 2025,,SKU-012,XL,Raw Denim,1,248.0,False
ORD-000008,POS-00001,in_store,Madison Ave,08 May 2024,,SKU-006,32,Raw Denim,1,138.0,True
ORD-000009,ECOM-00001,online,,2026-03-30,,SKU-004,27,Raw Denim,1,198.0,False
ORD-000010,ECOM-00001,online,,2026-04-04,,SKU-003,34,Black,1,178.0,False
ORD-000011,POS-00002,in_store,Madison Ave,02 Feb 2026,,SKU-008,28,Stone Wash,1,178.0,False
ORD-000012,POS-00002,in_store,Madison Ave,26 Nov 2025,,SKU-003,33,Indigo,1,139.84,True
ORD-000013,POS-00003,in_store,Madison Ave,15 Apr 2026,,SKU-015,L,Raw Denim,1,131.3,True
ORD-000014,POS-00003,in_store,SoHo,3/10/2026,,SKU-012,XS,Black,1,178.39,True
ORD-000015,POS-00005,in_store,Flatiron,6/12/2026,TOK-00119,SKU-012,S,Raw Denim,2,496.0,False
ORD-000016,POS-00006,in_store,SoHo,9/24/2025,,SKU-009,27,Indigo,1,168.0,False
ORD-000017,POS-00006,in_store,Flatiron,4/29/2026,,SKU-010,34,Indigo,1,148.95,True
ORD-000018,POS-00006,in_store,SoHo,5/12/2026,,SKU-004,28,Raw Denim,1,138.04,True
ORD-000019,POS-00006,in_store,SoHo,11/6/2025,,SKU-005,33,Raw Denim,1,178.0,False
ORD-000020,POS-00007,in_store,Flatiron,5/21/2026,,SKU-005,34,Vintage Blue,1,178.0,False
ORD-000021,POS-00007,in_store,SoHo,5/25/2026,,SKU-004,26,Vintage Blue,1,198.0,False
ORD-000022,POS-00007,in_store,Bleecker,5/19/2026,,SKU-003,25,Indigo,1,178.0,False
ORD-000023,POS-00007,in_store,Bleecker,4/20/2026,,SKU-016,S,Stone Wash,1,148.0,False
ORD-000024,POS-00007,in_store,SoHo,6/19/2026,,SKU-013,M,Indigo,1,218.0,False
ORD-000025,POS-00007,in_store,Bleecker,6/12/2026,,SKU-005,31,White,1,178.0,False
ORD-000026,POS-00008,in_store,Flatiron,12/12/2025,,SKU-007,32,White,1,168.0,False
ORD-000027,POS-00008,in_store,Flatiron,5/4/2026,,SKU-009,28,Raw Denim,1,122.76,True
ORD-000028,POS-00008,in_store,Flatiron,7/15/2025,,SKU-013,S,Raw Denim,1,218.0,False
ORD-000029,POS-00008,in_store,Madison Ave,17 Feb 2026,,SKU-015,S,Black,1,208.0,False
ORD-000030,POS-00008,in_store,Flatiron,8/25/2025,,SKU-004,34,Black,1,198.0,False
ORD-000031,POS-00008,in_store,Flatiron,2/6/2026,,SKU-006,34,Stone Wash,1,134.36,True
ORD-000032,POS-00009,in_store,Madison Ave,06 Nov 2024,,SKU-013,XL,Indigo,2,436.0,False
ORD-000033,ECOM-00002,online,,2024-08-11,,SKU-007,31,Raw Denim,2,336.0,False
ORD-000034,POS-00009,in_store,Madison Ave,09 May 2026,,SKU-006,33,Vintage Blue,1,138.58,True
ORD-000035,ECOM-00002,online,,2026-01-16,,SKU-003,27,Stone Wash,1,114.0,True
ORD-000036,ECOM-00002,online,,2025-10-14,,SKU-014,S,Indigo,1,138.0,False
ORD-000037,ECOM-00002,online,,2025-11-11,,SKU-004,25,Stone Wash,1,198.0,False
ORD-000038,POS-00009,in_store,Flatiron,8/3/2025,,SKU-002,32,Stone Wash,1,178.0,False
ORD-000039,ECOM-00002,online,,2025-06-10,,SKU-012,XL,Indigo,1,248.0,False
ORD-000040,ECOM-00002,online,,2024-08-09,,SKU-010,33,Raw Denim,1,154.3,True
ORD-000041,POS-00010,in_store,Flatiron,5/29/2025,TOK-00076,SKU-013,S,Stone Wash,1,149.38,True
ORD-000042,POS-00010,in_store,Flatiron,12/29/2025,TOK-00076,SKU-012,XL,Stone Wash,2,496.0,False
ORD-000043,POS-00010,in_store,Flatiron,5/5/2026,TOK-00076,SKU-006,29,Raw Denim,1,188.0,False
ORD-000044,POS-00010,in_store,Flatiron,4/30/2026,TOK-00076,SKU-005,34,Indigo,1,178.0,False
ORD-000045,POS-00010,in_store,Flatiron,12/15/2025,TOK-00076,SKU-011,XL,Indigo,1,228.0,False
ORD-000046,POS-00010,in_store,Bleecker,11/26/2025,TOK-00076,SKU-014,XS,Indigo,1,138.0,False
ORD-000047,POS-00010,in_store,Flatiron,2/7/2026,TOK-00076,SKU-010,33,Indigo,2,416.0,False
ORD-000048,POS-00010,in_store,Flatiron,7/11/2025,TOK-00076,SKU-010,27,Indigo,1,208.0,False
ORD-000049,POS-00010,in_store,,3/10/2026,TOK-00076,SKU-008,34,Indigo,2,233.24,True
ORD-000050,POS-00010,in_store,Flatiron,10/18/2025,TOK-00076,SKU-007,32,Indigo,1,103.83,True
ORD-000051,POS-00010,in_store,SoHo,9/23/2025,TOK-00076,SKU-009,27,Raw Denim,2,336.0,False
ORD-000052,POS-00011,in_store,Bleecker,5/2/2025,,SKU-010,29,Indigo,1,208.0,False
ORD-000053,POS-00011,in_store,Bleecker,2/3/2026,,SKU-008,29,Stone Wash,1,178.0,False
ORD-000054,POS-00011,in_store,Bleecker,10/4/2025,,SKU-008,34,Vintage Blue,1,178.0,False
ORD-000055,POS-00011,in_store,Bleecker,1/22/2025,,SKU-009,27,White,1,168.0,False
ORD-000056,POS-00011,in_store,Bleecker,7/14/2025,,SKU-012,S,Stone Wash,1,248.0,False
ORD-000057,POS-00011,in_store,Bleecker,8/5/2025,,SKU-008,28,Black,1,178.0,False
ORD-000058,ECOM-00003,online,,2026-05-22,,SKU-005,25,Indigo,2,356.0,False
